		sysA	sysB	sysC
Net recovery	N	0.09609964757626413	0.33942509829653655	0.7853404395994511
Net recovery	P	0.41028601599999986	0.7906620399999997	0.567765235559853
Net recovery	K	0.7607289200000003	0.76072892	0.9654960000000001
Net recovery	energy	0.0	0.39397482360802727	0.0
LCA results	I_EcosystemQuality_Total	-1322.1460539695618	-3012.7277352399096	-5072.0519324589295
LCA results	I_HumanHealth_Total	-0.09032557285892431	-0.3569382644443136	-0.29655499336210717
LCA results	I_Resources_Total	-0.020808899871589973	-0.5155071401332466	0.7053619464656397
LCA results	H_EcosystemQuality_Total	-1598.7422062922228	-3642.992358113296	-6133.183986158831
LCA results	H_HumanHealth_Total	-0.06067350300521485	-0.3426600789714948	-0.2436822973282694
LCA results	H_Resources_Total	0.019511304454238605	-0.4705202258154663	0.49825152529543626
LCA results	E_EcosystemQuality_Total	-1093.5050622208619	-2492.0295347930996	-4195.209421730524
LCA results	E_HumanHealth_Total	-0.16399609380430932	-0.8823385777195762	-0.38957753712610504
LCA results	E_Resources_Total	0.019511304454238605	-0.4705202258154663	0.49825152529543626
TEA results	Net cost	14.234057294697132	7.342280007560975	22.05884772920983
