,Albania,Armenia,Austria,Bangladesh,Barbados,Belarus,Belgium,Belize,Bolivia,Botswana,Bulgaria,Cambodia,Cameroon,Chile,China,Croatia,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Guyana,Honduras,Hungary,India,Israel,Italy,Jordan,Kazakhstan,Kenya,South Korea,Kyrgyzstan,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Mauritius,Moldova,Mongolia,Montenegro,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saudi Arabia,Slovakia,Slovenia,Spain,Sri Lanka,Sweden,Switzerland,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,WorstECON,BestECON,WorstENV,BestENV,BeijingChina,South Africa,Senegal
energy_GWP,0.057485764,0.470912469,0.309432662,1.028661485,1.011147954,1.027323987,0.42506532,0.220277258,0.743408377,1.045334342,0.495745997,0.454299016,0.453383243,0.603149182,0.744665422,0.337650179,0.951822614,0.601426315,0.398957478,0.906905861,0.323699479,0.956415406,0.342959376,0.912079591,0.308939342,0.110747714,0.222250466,0.582677581,0.545790599,0.739394147,0.489852301,1.03314651,0.40452925,0.437489119,0.852307439,1.020705743,0.66077569,0.935539958,0.938553562,0.198159892,0.771369345,0.13081422,0.569071151,1.026300268,0.30740265,0.713369934,0.87709951,0.887188632,0.984861416,0.971886281,0.447444669,0.843436937,0.221652869,0.862006999,0.075578157,0.683285338,0.81353495,0.92707834,0.548687729,0.455339334,0.685632923,0.521355278,1.046531096,0.275923984,0.357056568,0.450602617,0.590815672,0.078355391,0.068254804,0.711680398,0.909318817,0.719656115,0.15915787,0.410258813,0.533392427,0.678376885,0.133047705,1.046968,0.012,1.046968,0.012,0.745,0.955,0.939
energy_H_Ecosystems,0.001046996,0.00162244,0.001760423,0.002941744,0.002882045,0.002953919,0.001599688,0.00244633,0.002437711,0.002976005,0.001661269,0.00184665,0.00183418,0.002250441,0.002336342,0.001663977,0.002759385,0.001967668,0.001981088,0.002709346,0.001611625,0.002791121,0.001658265,0.003048473,0.001802989,0.000516572,0.001362747,0.002059138,0.00200372,0.002248016,0.002456338,0.002976522,0.001841762,0.001582845,0.002616438,0.002917981,0.002341823,0.002672994,0.002761737,0.000933912,0.002270452,0.001190367,0.002492814,0.00293722,0.001977078,0.004594958,0.002672817,0.003143903,0.002873498,0.00278051,0.001774552,0.002635191,0.001220974,0.002620745,0.001068795,0.002254133,0.002428269,0.00281616,0.001991262,0.001583469,0.002126168,0.00190631,0.002979293,0.001176682,0.001362417,0.001512486,0.002082311,0.000902697,0.000870039,0.002348795,0.00298416,0.002271621,0.001594625,0.001251899,0.00202899,0.002068404,0.001443593,0.004594958,0.000516572,0.004594958,0.000516572,0.002336342,0.002734378,0.002819172
energy_H_Health,0.016985304,0.0255014,0.037327687,0.044938784,0.04407151,0.045702817,0.03540382,0.073264972,0.039681998,0.045438924,0.029859134,0.029629873,0.029100014,0.042294601,0.037590269,0.031332299,0.0434822,0.036902542,0.053685528,0.042671294,0.026887855,0.042879411,0.036708614,0.0590322,0.048842561,0.011264692,0.021637311,0.041851427,0.031251437,0.03589981,0.05789837,0.046417273,0.039035125,0.033646853,0.043194571,0.044871154,0.044314771,0.041001683,0.042277236,0.016346543,0.036676463,0.019099971,0.053523606,0.044867528,0.056754169,0.136580714,0.041856233,0.064131959,0.044543057,0.042516257,0.027687851,0.046692595,0.020893119,0.040275992,0.017562308,0.036992126,0.037913386,0.047611629,0.037160586,0.025603728,0.033185402,0.030036781,0.04548676,0.02587,0.023604809,0.026564499,0.032859837,0.023784732,0.019541961,0.03728724,0.055478074,0.035977398,0.036965578,0.020272608,0.044880599,0.033903884,0.041073363,0.136580714,0.011264692,0.136580714,0.011264692,0.037590269,0.042074692,0.04520618
energy_H_Resources,0.008137101,0.018316335,0.015748641,0.035668251,0.035030203,0.035666258,0.016430045,0.01601761,0.027703084,0.036150883,0.018578778,0.01946239,0.019403742,0.023775082,0.02714852,0.01602233,0.033194211,0.021951353,0.017319827,0.03214352,0.015812785,0.033548046,0.015576382,0.0332301,0.014786726,0.005237881,0.012773323,0.022000438,0.021990581,0.026600587,0.021969309,0.035865665,0.017776486,0.016604832,0.030496415,0.035375494,0.025229205,0.032527593,0.033088806,0.009674682,0.027085915,0.010217581,0.023947038,0.035601998,0.01557218,0.03535055,0.031452337,0.033064088,0.034472894,0.033755614,0.018990974,0.030164356,0.011777552,0.03096117,0.008545586,0.025557458,0.028952794,0.032808843,0.021404466,0.017816774,0.024937988,0.021007186,0.036190102,0.011612417,0.014637114,0.017109434,0.023170752,0.006563542,0.006590478,0.026739913,0.03304727,0.026425977,0.012043899,0.014900029,0.020626555,0.024320938,0.010105081,0.036204436,0.005237881,0.036204436,0.005237881,0.02714852,0.033168799,0.033261027
energy_price,0.11,0.076,0.242,0.066,0.208,0.073,0.299,0.227,0.117,0.108,0.135,0.15,0.09,0.192,0.084,0.161,0.28,0.237,0.316,0.088,0.096,0.036,0.189,0.186,0.181,0.213,0.055,0.378,0.064,0.221,0.25,0.26,0.192,0.121,0.081,0.169,0.253,0.1,0.041,0.201,0.112,0.01,0.192,0.077,0.176,0.251,0.059,0.151,0.108,0.035,0.097,0.18,0.244,0.056,0.098,0.06,0.18,0.192,0.311,0.184,0.06,0.258,0.048,0.206,0.16,0.223,0.075,0.176,0.221,0.099,0.124,0.093,0.184,0.046,0.26,0.149,0.197,0.378,0,0.378,0,0.081,0.14,0.186
wages,2.3535,1.3748125,21.284,1.150375,9.1864375,3.6228125,26.1803125,3.1875,4.649625,4.7083125,3.5945,1.0645,1.4505625,7.5825625,6.5736875,7.993875,13.1188125,9.11075,35.7434375,1.326375,3.70675,1.0810625,2.419375,10.2298125,23.8290625,21.633875,1.8116875,27.5055,0.1251875,6.15075,2.0921875,2.4550625,1.5340625,6.708875,1.315625,21.94125,16.71175,2.816375,1.98375,1.0283125,20.445625,1.305,8.3023125,3.776375,9.5445,33.96975,3.82275,3.9349375,2.607,2.17075,5.030625,24.7115,23.017375,0.716125,29.9628125,1.0655,1.9086875,7.7604375,6.953125,6.4429375,3.4468125,0.629375,11.5431875,7.668375,11.978375,16.7843125,1.392375,23.7505625,42.1214375,1.596625,3.95475,5.0403125,1.3920625,2.2660625,21.242,29.3205,5.8465,42.1214375,0.1251875,42.1214375,0.1251875,6.5736875,1.695565104,1.695565104
operator_daily_wage,18.828,10.9985,170.272,9.203,73.4915,28.9825,209.4425,25.5,37.197,37.6665,28.756,8.516,11.6045,60.6605,52.5895,63.951,104.9505,72.886,285.9475,10.611,29.654,8.6485,19.355,81.8385,190.6325,173.071,14.4935,220.044,1.0015,49.206,16.7375,19.6405,12.2725,53.671,10.525,175.53,133.694,22.531,15.87,8.2265,163.565,10.44,66.4185,30.211,76.356,271.758,30.582,31.4795,20.856,17.366,40.245,197.692,184.139,5.729,239.7025,8.524,15.2695,62.0835,55.625,51.5435,27.5745,5.035,92.3455,61.347,95.827,134.2745,11.139,190.0045,336.9715,12.773,31.638,40.3225,11.1365,18.1285,169.936,234.564,46.772,336.9715,1.0015,336.9715,1.0015,52.5895,14.79638636,14.79638636
const_wage,19.1575,15.1365,157.678,5.6405,49.387,30.8515,183.6385,25.5,22.145,18.0425,27.881,11.9385,12.9085,61.585,32.66,60.503,87.487,71.647,279.0985,19.031,17.7815,10.5535,16.939,77.955,185.207,161.54,28.939,213.4195,10.442,45.2425,14.3395,22.1275,15.3495,48.864,10.3285,141.2315,124.328,22.072,30.573,4.326,161.4465,11.567,67.7895,26.288,71.8155,202.2685,30.4155,17.0765,21.961,22.641,37.3345,200.408,181.5035,10.0825,244.8535,5.9975,13.434,55.5695,49.457,48.233,46.299,3.9675,64.988,62.8585,79.9865,113.0175,10.348,198.1475,332.76,7.12,17.291,28.425,5.0795,18.236,151.218,239.559,47.022,332.76,3.25,332.76,3.25,32.66,14.06925,14.06925
certified_electrician_wages,4.380125,1.755125,37.2785,1.941375,9.0681875,3.7079375,35.878875,0.1875,4.4529375,6.4045625,7.1361875,1.6190625,1.9089375,15.71975,,11.6130625,19.69575,14.4855,46.78625,3.020625,6.210625,1.34,3.02175,15.1198125,30.7465,34.4448125,3.4599375,42.6753125,1.221125,7.851875,3.1833125,3.3054375,8.59425,11.1141875,2.1189375,35.0868125,19.8028125,3.74725,2.8215,1.6378125,33.1069375,2.2785,9.7729375,4.8375,12.62125,53.177,5.34675,4.4210625,4.7460625,3.46325,9.08875,31.398625,35.7819375,1.136375,42.3156875,1.5973125,2.73425,13.1075,10.07275,11.86975,4.3563125,1.0896875,18.4826875,13.104875,18.1215,31.51675,1.9755,29.65425,56.512875,2.0145,5.6023125,5.771375,1.2930625,3.880875,31.1859375,39.70525,9.5385,56.512875,0.1875,56.512875,0.1875,6.251324074,2.669459239,2.669459239
service_team_wages,2.3535,1.3748125,21.284,1.150375,9.1864375,3.6228125,26.1803125,3.1875,4.649625,4.7083125,3.5945,1.0645,1.4505625,7.5825625,6.5736875,7.993875,13.1188125,9.11075,35.7434375,1.326375,3.70675,1.0810625,2.419375,10.2298125,23.8290625,21.633875,1.8116875,27.5055,0.1251875,6.15075,2.0921875,2.4550625,1.5340625,6.708875,1.315625,21.94125,16.71175,2.816375,1.98375,1.0283125,20.445625,1.305,8.3023125,3.776375,9.5445,33.96975,3.82275,3.9349375,2.607,2.17075,5.030625,24.7115,23.017375,0.716125,29.9628125,1.0655,1.9086875,7.7604375,6.953125,6.4429375,3.4468125,0.629375,11.5431875,7.668375,11.978375,16.7843125,1.392375,23.7505625,42.1214375,1.596625,3.95475,5.0403125,1.3920625,2.2660625,21.242,29.3205,5.8465,42.1214375,0.1251875,42.1214375,0.1251875,6.5736875,1.849548295,1.849548295
