		sysA	sysB	sysC
Net recovery	COD	0.14573040803712933	0.4220799094174589	0.49915910187629164
Net recovery	N	0.014012420211039144	0.377007242946705	0.06779704284139026
Net recovery	P	0.15670199999999998	0.7906620399999997	0.3822000000000001
Net recovery	K	0.10064600000000003	0.7607289199999999	0.25479999999999997
TEA results	Net cost	8.309867475816677	6.488639850347885	32.94396944209779
LCA results	I_EcosystemQuality_Total	-306.87162787696036	-3201.5578075543017	-921.8341414903938
LCA results	I_HumanHealth_Total	0.16136909823579315	-0.2214468421313214	0.3144393159255903
LCA results	I_Resources_Total	0.21295750566334623	-0.356960951187423	1.3672034204543326
LCA results	H_EcosystemQuality_Total	-371.04045858430715	-3871.307383573435	-1114.683613325984
LCA results	H_HumanHealth_Total	0.20460887746066936	-0.17709372298736473	0.41160079447096
LCA results	H_Resources_Total	0.2457366918321932	-0.2942841657695248	1.1398505496550142
LCA results	E_EcosystemQuality_Total	-253.5555968497188	-2648.0344138371647	-761.9759941457046
LCA results	E_HumanHealth_Total	0.4587444168381173	-0.5184930798942146	1.238765264989898
LCA results	E_Resources_Total	0.2457366918321932	-0.2942841657695248	1.1398505496550142
