	Input x	Input y	KS-d	p-value
0	('Excretion-B1', 'E cal [kcal/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
1	('Excretion-B1', 'P veg [g/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
2	('Excretion-B1', 'P anim [g/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
3	('Excretion-B1', 'N prot [fraction]')	Alternative B	1.0	1.0825088224469026e-05
4	('Excretion-B1', 'P prot v [fraction]')	Alternative B	1.0	1.0825088224469026e-05
5	('Excretion-B1', 'P prot a [fraction]')	Alternative B	1.0	1.0825088224469026e-05
6	('Excretion-B1', 'K cal [g K/1000 kcal]')	Alternative B	1.0	1.0825088224469026e-05
7	('Excretion-B1', 'N exc [fraction of intake]')	Alternative B	1.0	1.0825088224469026e-05
8	('Excretion-B1', 'P exc [fraction of intake]')	Alternative B	1.0	1.0825088224469026e-05
9	('Excretion-B1', 'K exc [fraction of intake]')	Alternative B	0.7	0.012340600575894691
10	('Excretion-B1', 'E exc [fraction of intake]')	Alternative B	1.0	1.0825088224469026e-05
11	('Excretion-B1', 'N ur [fraction of total]')	Alternative B	0.7	0.012340600575894691
12	('Excretion-B1', 'P ur [fraction of total]')	Alternative B	0.4	0.41752365281777043
13	('Excretion-B1', 'K ur [fraction of total]')	Alternative B	0.4	0.41752365281777043
14	('Excretion-B1', 'E fec [fraction of total]')	Alternative B	0.7	0.012340600575894691
15	('Excretion-B1', 'N ur  nh3 [fraction of total N in urine]')	Alternative B	0.7	0.012340600575894691
16	('Excretion-B1', 'N fec  nh3 [fraction of total N in feces]')	Alternative B	0.9	0.00021650176448938054
17	('Excretion-B1', 'Ur exc [g/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
18	('Excretion-B1', 'Fec exc [g/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
19	('Excretion-B1', 'Ur moi [fraction]')	Alternative B	1.0	1.0825088224469026e-05
20	('Excretion-B1', 'Fec moi [fraction]')	Alternative B	0.8	0.002056766762649115
21	('Excretion-B1', 'Mg ur [g Mg/cap/d]')	Alternative B	1.0	1.0825088224469026e-05
22	('Excretion-B1', 'Mg fec [g Mg/cap/d]')	Alternative B	0.9	0.00021650176448938054
23	('Excretion-B1', 'Ca ur [g Ca/cap/d]')	Alternative B	0.9	0.00021650176448938054
24	('Excretion-B1', 'Ca fec [g Ca/cap/d]')	Alternative B	0.8	0.002056766762649115
